% Model,plasmaBDistributionWithShielding.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 24 2021, 13:35"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,
% Length unit,m
% R,Z,real(mf.Bz) (T) @ freq=1
9.0E-4,-0.2388,1.1506804205113471E-4
9.0E-4,-0.2364,0.008763844639848506
9.0E-4,-0.23399999999999999,0.2214665588145168
9.0E-4,-0.2316,0.22916391224505045
9.0E-4,-0.22920000000000001,0.23709320097930486
9.0E-4,-0.2268,0.245510041006115
9.0E-4,-0.2244,0.2541145569496032
9.0E-4,-0.22199999999999998,0.2632791533224956
9.0E-4,-0.21960000000000002,0.2726277850440988
9.0E-4,-0.2172,0.28259604276369604
9.0E-4,-0.2148,0.292765415699611
9.0E-4,-0.21239999999999998,0.30360979803006893
9.0E-4,-0.20999999999999996,0.3146740561902722
9.0E-4,-0.2076,0.3264739464792814
9.0E-4,-0.2052,0.3385138013461379
9.0E-4,-0.20279999999999998,0.35135175871656843
9.0E-4,-0.20039999999999997,0.36445138916696185
9.0E-4,-0.198,0.3784133376165454
9.0E-4,-0.1956,0.39265976491427274
9.0E-4,-0.19319999999999998,0.40783340272959695
9.0E-4,-0.19079999999999997,0.4233149292046688
9.0E-4,-0.18839999999999998,0.43978759157895836
9.0E-4,-0.186,0.45659144344099656
9.0E-4,-0.1836,0.47444674979204604
9.0E-4,-0.18119999999999997,0.4926555216128592
9.0E-4,-0.17880000000000001,0.5119690758609943
9.0E-4,-0.17639999999999997,0.5316559597011066
9.0E-4,-0.174,0.5524895945783412
9.0E-4,-0.1716,0.573712116007643
9.0E-4,-0.16920000000000002,0.5961063408148698
9.0E-4,-0.1668,0.6188982310776827
9.0E-4,-0.1644,0.6428626544488704
9.0E-4,-0.16199999999999998,0.6672235636349051
9.0E-4,-0.1596,0.6927250879517508
9.0E-4,-0.1572,0.7186079844769883
9.0E-4,-0.1548,0.7455567098000904
9.0E-4,-0.15239999999999998,0.7728529753226102
9.0E-4,-0.15,0.8010860521470441
9.0E-4,-0.1476,0.8296086122295447
