% Model,plasmaBDistributionWithShielding.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 3 2021, 11:59"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,
% Length unit,m
% R,Z,real(mf.Br) (T) @ freq=1
9.0E-4,-0.2388,-1.9349220439509257E-8
9.0E-4,-0.2364,-8.716314439575496E-6
9.0E-4,-0.23399999999999999,-6.249307178795172E-4
9.0E-4,-0.2316,-6.859532898804573E-4
9.0E-4,-0.22920000000000001,-6.982716175386154E-4
9.0E-4,-0.2268,-7.348647013522348E-4
9.0E-4,-0.2244,-7.667136411105141E-4
9.0E-4,-0.22199999999999998,-7.946531286217045E-4
9.0E-4,-0.21960000000000002,-8.312227487087785E-4
9.0E-4,-0.2172,-8.600853339404454E-4
9.0E-4,-0.2148,-9.001343803557195E-4
9.0E-4,-0.21239999999999998,-9.30390280901538E-4
9.0E-4,-0.20999999999999996,-9.735523414227711E-4
9.0E-4,-0.2076,-0.001005641724228075
9.0E-4,-0.2052,-0.0010515917034437765
9.0E-4,-0.20279999999999998,-0.0010854754483337664
9.0E-4,-0.20039999999999997,-0.001134089131375221
9.0E-4,-0.198,-0.0011693349859935426
9.0E-4,-0.1956,-0.0012202693072000531
9.0E-4,-0.19319999999999998,-0.0012562913778870475
9.0E-4,-0.19079999999999997,-0.0013087609396375474
9.0E-4,-0.18839999999999998,-0.001344864743786767
9.0E-4,-0.186,-0.001397501070581085
9.0E-4,-0.1836,-0.0014327930037592474
9.0E-4,-0.18119999999999997,-0.001483207587584405
9.0E-4,-0.17880000000000001,-0.0015167304857533425
9.0E-4,-0.17639999999999997,-0.0015619583794806713
9.0E-4,-0.174,-0.0015916770257216686
9.0E-4,-0.1716,-0.001628957175359734
9.0E-4,-0.16920000000000002,-0.0016509713140717452
9.0E-4,-0.1668,-0.0016787372955340968
9.0E-4,-0.1644,-0.0016857007492969104
9.0E-4,-0.16199999999999998,-0.0016911646494391455
9.0E-4,-0.1596,-0.001686115304596908
9.0E-4,-0.1572,-0.0016638283371506778
9.0E-4,-0.1548,-0.0016252698257947212
9.0E-4,-0.15239999999999998,-0.0015738003130520012
9.0E-4,-0.15,-0.0015001166027743497
9.0E-4,-0.1476,-0.0013902995050044547
9.0E-4,-0.1452,-0.0012481171858756974
9.0E-4,-0.14279999999999998,-0.0010523086602814286
9.0E-4,-0.14039999999999997,-9.687297804484574E-4
9.0E-4,-0.138,-6.537920747225103E-4
9.0E-4,-0.1356,-3.439270880715126E-4
9.0E-4,-0.13319999999999999,2.1805291081075535E-5
9.0E-4,-0.13079999999999997,3.992036159254711E-4
9.0E-4,-0.12839999999999996,7.463269994274782E-4
9.0E-4,-0.126,0.001244494636127445
9.0E-4,-0.12360000000000002,0.0017689690645581668
9.0E-4,-0.12119999999999997,0.002422180152272524
9.0E-4,-0.11879999999999999,0.002639451619326184
9.0E-4,-0.11639999999999996,0.003102505834496979
9.0E-4,-0.11399999999999998,0.003497512508262731
9.0E-4,-0.11159999999999998,0.0037900950213900597
9.0E-4,-0.10919999999999999,0.003938019822443094
9.0E-4,-0.10679999999999996,0.003999221426376787
9.0E-4,-0.10439999999999999,0.00395788828297863
9.0E-4,-0.10199999999999998,0.0038228982300233553
9.0E-4,-0.09960000000000001,0.003608722019737519
9.0E-4,-0.0972,0.003449799939038126
9.0E-4,-0.0948,0.003192667631453401
9.0E-4,-0.09239999999999998,0.0029398855269107617
9.0E-4,-0.08999999999999997,0.0026654873759978243
9.0E-4,-0.0876,0.002535295804228132
9.0E-4,-0.08519999999999998,0.0023335129263565564
9.0E-4,-0.08279999999999998,0.0021594867291670886
9.0E-4,-0.08039999999999997,0.0020034884894899827
9.0E-4,-0.07799999999999999,0.0019226550693227254
9.0E-4,-0.07559999999999999,0.0018042556079324622
9.0E-4,-0.07320000000000002,0.0016972839261740673
9.0E-4,-0.07079999999999997,0.001591539280229522
9.0E-4,-0.0684,0.0015576129073141256
9.0E-4,-0.06599999999999999,0.0014437598608165877
9.0E-4,-0.06360000000000002,0.0013521676728855403
9.0E-4,-0.06119999999999998,0.0012520308668548675
9.0E-4,-0.05879999999999999,0.0011925777824659204
9.0E-4,-0.056399999999999964,0.0010979966829251996
9.0E-4,-0.05399999999999998,0.001002418928863558
9.0E-4,-0.05159999999999998,8.970296044880782E-4
9.0E-4,-0.049199999999999994,8.434031754781916E-4
9.0E-4,-0.04679999999999995,7.523938396370221E-4
9.0E-4,-0.044399999999999995,6.674444174652725E-4
9.0E-4,-0.04199999999999998,5.663708859820395E-4
9.0E-4,-0.03960000000000001,5.212101892365259E-4
9.0E-4,-0.0372,4.548593931966489E-4
9.0E-4,-0.034799999999999984,3.9168986883347936E-4
9.0E-4,-0.032399999999999984,3.3068488438110083E-4
9.0E-4,-0.03,3.0342067824638645E-4
9.0E-4,-0.0276,2.6138571051164094E-4
9.0E-4,-0.025199999999999986,2.260895262391663E-4
9.0E-4,-0.022799999999999973,1.8967534833286975E-4
9.0E-4,-0.020399999999999974,1.8215969288999136E-4
9.0E-4,-0.017999999999999988,1.5670259627625455E-4
9.0E-4,-0.015599999999999975,1.3670471417299556E-4
9.0E-4,-0.013200000000000017,1.1421293755057779E-4
9.0E-4,-0.010799999999999976,1.054782434289853E-4
9.0E-4,-0.008400000000000019,8.381797381470082E-5
9.0E-4,-0.005999999999999978,6.09895961476089E-5
9.0E-4,-0.003599999999999992,2.6408619152734625E-5
9.0E-4,-0.0011999999999999789,1.8693256048876727E-5
9.0E-4,0.0011999999999999927,-1.0293112042051648E-5
9.0E-4,0.0035999999999999782,-3.650317609052396E-5
9.0E-4,0.0059999999999999915,-6.978717763175823E-5
9.0E-4,0.008400000000000005,-7.530527378566635E-5
9.0E-4,0.010800000000000004,-9.97778300229999E-5
9.0E-4,0.01319999999999999,-1.1973517550568253E-4
9.0E-4,0.015599999999999989,-1.3965050579072398E-4
9.0E-4,0.018000000000000002,-1.543548745191066E-4
9.0E-4,0.020400000000000015,-1.739203488285865E-4
9.0E-4,0.022800000000000015,-1.9925852156613724E-4
9.0E-4,0.0252,-2.4027820782585377E-4
9.0E-4,0.0276,-2.5775509343727536E-4
9.0E-4,0.030000000000000013,-2.944229523570532E-4
9.0E-4,0.032400000000000026,-3.4225616894830715E-4
9.0E-4,0.034800000000000025,-3.9923223089954326E-4
9.0E-4,0.03720000000000001,-4.5277104478013254E-4
9.0E-4,0.03960000000000001,-5.083705707845575E-4
9.0E-4,0.04200000000000002,-5.856243540534435E-4
9.0E-4,0.04440000000000004,-6.637223048023701E-4
9.0E-4,0.046800000000000036,-7.265647296923754E-4
9.0E-4,0.04920000000000002,-8.226550157732441E-4
9.0E-4,0.05160000000000002,-9.175685546899237E-4
9.0E-4,0.054000000000000034,-0.0010130923161331671
9.0E-4,0.05640000000000005,-0.001080996611125853
9.0E-4,0.05880000000000005,-0.001173260760873699
9.0E-4,0.061200000000000004,-0.001267716698725703
9.0E-4,0.06359999999999998,-0.0013609484428386042
9.0E-4,0.06599999999999999,-0.0014411513090453907
9.0E-4,0.0684,-0.0015178665981673218
9.0E-4,0.0708,-0.001612117829489564
9.0E-4,0.07320000000000002,-0.0017114962595179823
9.0E-4,0.07559999999999999,-0.001789894950038176
9.0E-4,0.078,-0.0018967237799556048
9.0E-4,0.08040000000000001,-0.002027685864029973
9.0E-4,0.08280000000000001,-0.0021770783759929727
9.0E-4,0.08520000000000003,-0.0023162016231184097
9.0E-4,0.0876,-0.0024849566206839964
9.0E-4,0.09000000000000001,-0.0027056393283163235
9.0E-4,0.09240000000000002,-0.0029552908910566657
9.0E-4,0.09480000000000002,-0.0031459952725116577
9.0E-4,0.09720000000000004,-0.003391552554917571
9.0E-4,0.09960000000000001,-0.003637154131854519
9.0E-4,0.10200000000000002,-0.0038410092655644904
9.0E-4,0.10440000000000003,-0.003944662788836183
9.0E-4,0.10680000000000003,-0.004001254663981079
9.0E-4,0.10920000000000005,-0.003940949595386092
9.0E-4,0.11160000000000002,-0.003759460450610317
9.0E-4,0.11400000000000003,-0.0034537587636749266
9.0E-4,0.11640000000000003,-0.0032020096809042315
9.0E-4,0.11880000000000004,-0.0027367030235943613
9.0E-4,0.1212,-0.002219780150045607
9.0E-4,0.12359999999999999,-0.0015681814650902945
9.0E-4,0.126,-0.0013609857451078178
9.0E-4,0.1284,-8.368216135964089E-4
9.0E-4,0.1308,-3.7201519745574794E-4
9.0E-4,0.1332,4.160939173980655E-5
9.0E-4,0.1356,3.6811512167309046E-4
9.0E-4,0.138,6.089374917605949E-4
9.0E-4,0.1404,8.753878778245816E-4
9.0E-4,0.1428,0.001094564098800982
9.0E-4,0.14520000000000002,0.001272163892419487
9.0E-4,0.14760000000000004,0.001374939022676637
9.0E-4,0.15000000000000002,0.001486091626906925
9.0E-4,0.1524,0.0015700587715002658
9.0E-4,0.15480000000000002,0.0016292800509524388
9.0E-4,0.15720000000000003,0.001664169272878352
9.0E-4,0.15960000000000005,0.0016830545995515367
9.0E-4,0.16200000000000003,0.0016901580600862803
9.0E-4,0.16440000000000002,0.0016861626265593226
9.0E-4,0.16680000000000003,0.0016738853567676458
9.0E-4,0.16920000000000004,0.0016509732790753494
9.0E-4,0.17160000000000006,0.0016340318479751703
9.0E-4,0.17400000000000004,0.0015917313013832433
9.0E-4,0.17640000000000003,0.0015610311317391656
9.0E-4,0.17880000000000004,0.0015168514199542919
9.0E-4,0.1812,0.0014810440883964576
9.0E-4,0.1836,0.0014331249384525514
9.0E-4,0.186,0.0013952584015453282
9.0E-4,0.18839999999999998,0.0013452021991510353
9.0E-4,0.1908,0.0013068911786302331
9.0E-4,0.1932,0.0012565657210751675
9.0E-4,0.19560000000000002,0.0012191027821195147
9.0E-4,0.198,0.0011694613202290467
9.0E-4,0.2004,0.0011338725283613488
9.0E-4,0.2028,0.001085467310560235
9.0E-4,0.20520000000000002,0.001052333620507162
9.0E-4,0.20760000000000003,0.0010053510657856454
9.0E-4,0.21000000000000002,9.763895749076087E-4
9.0E-4,0.2124,9.299364476074709E-4
9.0E-4,0.21480000000000002,9.025890278020129E-4
9.0E-4,0.21720000000000003,8.599124176944298E-4
9.0E-4,0.21960000000000005,8.277854180995074E-4
9.0E-4,0.22200000000000003,7.957576678807566E-4
9.0E-4,0.22440000000000002,7.614493509141979E-4
9.0E-4,0.22680000000000003,7.349536494132475E-4
9.0E-4,0.22920000000000004,7.003170016306702E-4
9.0E-4,0.23160000000000006,6.851073013837354E-4
9.0E-4,0.234,6.250737986502238E-4
9.0E-4,0.23640000000000003,8.716284405841931E-6
9.0E-4,0.23880000000000004,1.9349203548899212E-8
0.0026999999999999997,-0.2388,-5.804693596444334E-8
0.0026999999999999997,-0.2364,-2.6147576753505187E-5
0.0026999999999999997,-0.23399999999999999,-0.0019479232144729575
0.0026999999999999997,-0.2316,-0.0020425558038993513
0.0026999999999999997,-0.22920000000000001,-0.002114962527342225
0.0026999999999999997,-0.2268,-0.0022050122476802007
0.0026999999999999997,-0.2244,-0.0022931861008225612
0.0026999999999999997,-0.22199999999999998,-0.00238360066857354
0.0026999999999999997,-0.21960000000000002,-0.0024828555532227757
0.0026999999999999997,-0.2172,-0.0025792088121415003
0.0026999999999999997,-0.2148,-0.0026866212138877132
0.0026999999999999997,-0.21239999999999998,-0.0027894516397083207
0.0026999999999999997,-0.20999999999999996,-0.0029052061300613267
0.0026999999999999997,-0.2076,-0.0030145631280130217
0.0026999999999999997,-0.2052,-0.0031379410763431974
0.0026999999999999997,-0.20279999999999998,-0.0032533707387351436
0.0026999999999999997,-0.20039999999999997,-0.003383781045402979
0.0026999999999999997,-0.198,-0.0035042064439106727
0.0026999999999999997,-0.1956,-0.003640569718899901
0.0026999999999999997,-0.19319999999999998,-0.0037643258319523397
0.0026999999999999997,-0.19079999999999997,-0.003904690406916135
0.0026999999999999997,-0.18839999999999998,-0.004029349636623099
0.0026999999999999997,-0.186,-0.004170498923623554
0.0026999999999999997,-0.1836,-0.004292542505057897
0.0026999999999999997,-0.18119999999999997,-0.004429422868922395
0.0026999999999999997,-0.17880000000000001,-0.00454396228242393
0.0026999999999999997,-0.17639999999999997,-0.00466943108757259
0.0026999999999999997,-0.174,-0.0047690205599714465
0.0026999999999999997,-0.1716,-0.004874161752682113
0.0026999999999999997,-0.16920000000000002,-0.004946525692068086
0.0026999999999999997,-0.1668,-0.0050204874261180355
0.0026999999999999997,-0.1644,-0.0050599892339713015
0.0026999999999999997,-0.16199999999999998,-0.005075438764496697
0.0026999999999999997,-0.1596,-0.005053320765769143
0.0026999999999999997,-0.1572,-0.004989525705630158
0.0026999999999999997,-0.1548,-0.00487878024496002
0.0026999999999999997,-0.15239999999999998,-0.004716248968759357
0.0026999999999999997,-0.15,-0.004493826063089901
0.0026999999999999997,-0.1476,-0.0041663509939295455
0.0026999999999999997,-0.1452,-0.00377295868416452
0.0026999999999999997,-0.14279999999999998,-0.0032725030867860327
0.0026999999999999997,-0.14039999999999997,-0.0026671556610925184
0.0026999999999999997,-0.138,-0.0019419362951213354
0.0026999999999999997,-0.1356,-0.0010627927125993475
0.0026999999999999997,-0.13319999999999999,-4.319569349209296E-5
0.0026999999999999997,-0.13079999999999997,0.0011137318944367258
0.0026999999999999997,-0.12839999999999996,0.0023976188013479782
0.0026999999999999997,-0.126,0.0037875961981348044
0.0026999999999999997,-0.12360000000000002,0.005231968832579259
0.0026999999999999997,-0.12119999999999997,0.006716285939981831
0.0026999999999999997,-0.11879999999999999,0.00814444870451382
0.0026999999999999997,-0.11639999999999996,0.009464472091538778
0.0026999999999999997,-0.11399999999999998,0.010541889796036125
0.0026999999999999997,-0.11159999999999998,0.011350427170034628
0.0026999999999999997,-0.10919999999999999,0.011837732858304334
0.0026999999999999997,-0.10679999999999996,0.012002042425842713
0.0026999999999999997,-0.10439999999999999,0.01192622335253446
0.0026999999999999997,-0.10199999999999998,0.011493855471703441
0.0026999999999999997,-0.09960000000000001,0.010923346289899216
0.0026999999999999997,-0.0972,0.010251855123854653
0.0026999999999999997,-0.0948,0.00953592820658622
0.0026999999999999997,-0.09239999999999998,0.008785736820095834
0.0026999999999999997,-0.08999999999999997,0.008134305343287258
0.0026999999999999997,-0.0876,0.007518636772157009
0.0026999999999999997,-0.08519999999999998,0.0069569785175044585
0.0026999999999999997,-0.08279999999999998,0.006494440611128395
0.0026999999999999997,-0.08039999999999997,0.006081726774571132
0.0026999999999999997,-0.07799999999999999,0.00572085406754222
0.0026999999999999997,-0.07559999999999999,0.005389761170186372
0.0026999999999999997,-0.07320000000000002,0.0051106287457966144
0.0026999999999999997,-0.07079999999999997,0.0048383170594852205
0.0026999999999999997,-0.0684,0.0045754688947140945
0.0026999999999999997,-0.06599999999999999,0.004331099750108591
0.0026999999999999997,-0.06360000000000002,0.004059067268089253
0.0026999999999999997,-0.06119999999999998,0.003804859862511526
0.0026999999999999997,-0.05879999999999999,0.0035489248521672553
0.0026999999999999997,-0.056399999999999964,0.0032905476588829703
0.0026999999999999997,-0.05399999999999998,0.0030088635143338946
0.0026999999999999997,-0.05159999999999998,0.002749920670638787
0.0026999999999999997,-0.049199999999999994,0.002491061348177899
0.0026999999999999997,-0.04679999999999995,0.002239686810749921
0.0026999999999999997,-0.044399999999999995,0.001984558874526594
0.0026999999999999997,-0.04199999999999998,0.001761048965006621
0.0026999999999999997,-0.03960000000000001,0.0015570813150635812
0.0026999999999999997,-0.0372,0.001354086136292787
0.0026999999999999997,-0.034799999999999984,0.0011799808878299664
0.0026999999999999997,-0.032399999999999984,0.0010258983259633786
0.0026999999999999997,-0.03,8.934275283333654E-4
0.0026999999999999997,-0.0276,7.778406429477525E-4
0.0026999999999999997,-0.025199999999999986,6.741957705662209E-4
0.0026999999999999997,-0.022799999999999973,5.95743304181922E-4
0.0026999999999999997,-0.020399999999999974,5.267674339827777E-4
0.0026999999999999997,-0.017999999999999988,4.677387927984056E-4
0.0026999999999999997,-0.015599999999999975,4.095764636880793E-4
0.0026999999999999997,-0.013200000000000017,3.581234925369506E-4
0.0026999999999999997,-0.010799999999999976,3.0397762430241573E-4
0.0026999999999999997,-0.008400000000000019,2.4613607469889387E-4
0.0026999999999999997,-0.005999999999999978,1.7573778695360363E-4
0.0026999999999999997,-0.003599999999999992,1.1141300629175128E-4
0.0026999999999999997,-0.0011999999999999789,3.789640399172456E-5
0.0026999999999999997,0.0011999999999999927,-3.691004429168254E-5
0.0026999999999999997,0.0035999999999999782,-1.1711546563930249E-4
0.0026999999999999997,0.0059999999999999915,-1.8167749733942386E-4
0.0026999999999999997,0.008400000000000005,-2.454507136430105E-4
0.0026999999999999997,0.010800000000000004,-3.052185904208332E-4
0.0026999999999999997,0.01319999999999999,-3.570393413109864E-4
0.0026999999999999997,0.015599999999999989,-4.1009103109981653E-4
