% Model,plasmaBDistribution.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 3 2021, 11:47"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,
% Length unit,m
% R,Z,real(mf.Br) (T) @ freq=1
9.0E-4,-0.2388,-1.3381569368894647E-9
9.0E-4,-0.2364,-9.489979436104554E-6
9.0E-4,-0.23399999999999999,-6.350816966331777E-4
9.0E-4,-0.2316,-7.723569675024097E-4
9.0E-4,-0.22920000000000001,-7.870679142692122E-4
9.0E-4,-0.2268,-8.302194493535585E-4
9.0E-4,-0.2244,-8.69606502060926E-4
9.0E-4,-0.22199999999999998,-9.015815355415565E-4
9.0E-4,-0.21960000000000002,-9.490785594550473E-4
9.0E-4,-0.2172,-9.811044155109475E-4
9.0E-4,-0.2148,-0.0010339972401622148
9.0E-4,-0.21239999999999998,-0.0010680704866458792
9.0E-4,-0.20999999999999996,-0.0011267714167515486
9.0E-4,-0.2076,-0.001163146711176861
9.0E-4,-0.2052,-0.00122792927258571
9.0E-4,-0.20279999999999998,-0.0012666645650940653
9.0E-4,-0.20039999999999997,-0.0013380971256566725
9.0E-4,-0.198,-0.001379008565052602
9.0E-4,-0.1956,-0.0014576826087872932
9.0E-4,-0.19319999999999998,-0.0015004453718081416
9.0E-4,-0.19079999999999997,-0.0015868835285195518
9.0E-4,-0.18839999999999998,-0.0016310715120913678
9.0E-4,-0.186,-0.0017255846256238952
9.0E-4,-0.1836,-0.0017707045776870968
9.0E-4,-0.18119999999999997,-0.0018732747072279163
9.0E-4,-0.17880000000000001,-0.0019187789216438122
9.0E-4,-0.17639999999999997,-0.002028965911079393
9.0E-4,-0.174,-0.002074217845629471
9.0E-4,-0.1716,-0.0021910254655026565
9.0E-4,-0.16920000000000002,-0.002235286621768894
9.0E-4,-0.1668,-0.0023569845468244463
9.0E-4,-0.1644,-0.002399414145585839
9.0E-4,-0.16199999999999998,-0.002523352495436955
9.0E-4,-0.1596,-0.002563003814740344
9.0E-4,-0.1572,-0.0026854171062439813
9.0E-4,-0.1548,-0.0027212560339186158
9.0E-4,-0.15239999999999998,-0.0028370756504434366
9.0E-4,-0.15,-0.002868028653610724
9.0E-4,-0.1476,-0.0029707534279778715
9.0E-4,-0.1452,-0.0029957839740971963
9.0E-4,-0.14279999999999998,-0.003077484104771079
9.0E-4,-0.14039999999999997,-0.003095687870269949
9.0E-4,-0.138,-0.003147169719524081
9.0E-4,-0.1356,-0.0031579367906677098
9.0E-4,-0.13319999999999999,-0.0031691750425152723
9.0E-4,-0.13079999999999997,-0.003172381205058793
9.0E-4,-0.12839999999999996,-0.003133299191030711
9.0E-4,-0.126,-0.0031294783234160667
9.0E-4,-0.12360000000000002,-0.0030909828495144453
9.0E-4,-0.12119999999999997,-0.0030215603645832867
9.0E-4,-0.11879999999999999,-0.002950118115381551
9.0E-4,-0.11639999999999996,-0.002844301864278408
9.0E-4,-0.11399999999999998,-0.0027390669782640675
9.0E-4,-0.11159999999999998,-0.0025981672641305956
9.0E-4,-0.10919999999999999,-0.00246102450790488
9.0E-4,-0.10679999999999996,-0.002289498133569183
9.0E-4,-0.10439999999999999,-0.0021253629310086686
9.0E-4,-0.10199999999999998,-0.0019308041016053929
9.0E-4,-0.09960000000000001,-0.001747441235546138
9.0E-4,-0.0972,-0.0015401693676802206
9.0E-4,-0.0948,-0.001347508329732405
9.0E-4,-0.09239999999999998,-0.001139685059387459
9.0E-4,-0.08999999999999997,-9.494217240197462E-4
9.0E-4,-0.0876,-7.530037487384766E-4
9.0E-4,-0.08519999999999998,-5.765609312527854E-4
9.0E-4,-0.08279999999999998,-4.026009283028409E-4
9.0E-4,-0.08039999999999997,-2.499084797738491E-4
9.0E-4,-0.07799999999999999,-1.070357002061871E-4
9.0E-4,-0.07559999999999999,1.4691516805788779E-5
9.0E-4,-0.07320000000000002,1.2127007851841995E-4
9.0E-4,-0.07079999999999997,2.082608617133651E-4
