% Model,plasmaBDistributionWithShieldingWithFM.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 24 2021, 13:36"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,
% Length unit,m
% R,Z,real(mf.Bz) (T) @ freq=1
9.0E-4,-0.2388,1.1514336255920768E-4
9.0E-4,-0.2364,0.008769689162548751
9.0E-4,-0.23399999999999999,0.22164738601509704
9.0E-4,-0.2316,0.2293527388671331
9.0E-4,-0.22920000000000001,0.2372904130531142
9.0E-4,-0.2268,0.2457163759275653
9.0E-4,-0.2244,0.2543304168391012
9.0E-4,-0.22199999999999998,0.26350523145939947
9.0E-4,-0.21960000000000002,0.27286439380972405
9.0E-4,-0.2172,0.2828440650318629
9.0E-4,-0.2148,0.29302563791721953
9.0E-4,-0.21239999999999998,0.30388289548730996
9.0E-4,-0.20999999999999996,0.314960854911661
9.0E-4,-0.2076,0.3267753746885758
9.0E-4,-0.2052,0.33883139440032783
9.0E-4,-0.20279999999999998,0.351685639848084
9.0E-4,-0.20039999999999997,0.36480392687125696
9.0E-4,-0.198,0.37878462653264866
9.0E-4,-0.1956,0.39305259306100426
9.0E-4,-0.19319999999999998,0.4082479059463553
9.0E-4,-0.19079999999999997,0.4237545847366618
9.0E-4,-0.18839999999999998,0.44025230770137425
9.0E-4,-0.186,0.457085655083895
9.0E-4,-0.1836,0.4749701668982305
9.0E-4,-0.18119999999999997,0.4932136661418526
9.0E-4,-0.17880000000000001,0.5125615433255686
9.0E-4,-0.17639999999999997,0.5322894926149732
9.0E-4,-0.174,0.5531638302824335
9.0E-4,-0.1716,0.5744351508544627
9.0E-4,-0.16920000000000002,0.5968781043143543
9.0E-4,-0.1668,0.6197282803967518
9.0E-4,-0.1644,0.6437516435201502
9.0E-4,-0.16199999999999998,0.668182553374423
9.0E-4,-0.1596,0.6937561491142723
9.0E-4,-0.1572,0.7197236327581442
9.0E-4,-0.1548,0.746761494163593
9.0E-4,-0.15239999999999998,0.7741606952313527
9.0E-4,-0.15,0.8025053024745181
9.0E-4,-0.1476,0.8311541639318437
9.0E-4,-0.1452,0.8605594545599307
9.0E-4,-0.14279999999999998,0.8902019104923264
9.0E-4,-0.14039999999999997,0.9202957288280355
9.0E-4,-0.138,0.9504969247844727
9.0E-4,-0.1356,0.9808541772694168
9.0E-4,-0.13319999999999999,1.011093641938734
9.0E-4,-0.13079999999999997,1.0411192826804567
9.0E-4,-0.12839999999999996,1.0707433259202908
9.0E-4,-0.126,1.099710051355701
9.0E-4,-0.12360000000000002,1.1279335863778588
9.0E-4,-0.12119999999999997,1.1549905006763566
9.0E-4,-0.11879999999999999,1.1809112303116425
9.0E-4,-0.11639999999999996,1.2051050579275466
9.0E-4,-0.11399999999999998,1.2277355434914028
9.0E-4,-0.11159999999999998,1.2480570851138975
9.0E-4,-0.10919999999999999,1.2663312398031232
9.0E-4,-0.10679999999999996,1.281804048159672
9.0E-4,-0.10439999999999999,1.294568475987746
9.0E-4,-0.10199999999999998,1.3043824669001212
9.0E-4,-0.09960000000000001,1.3104915985983183
9.0E-4,-0.0972,1.3139271885611172
9.0E-4,-0.0948,1.3125748771100696
9.0E-4,-0.09239999999999998,1.3077537584609544
9.0E-4,-0.08999999999999997,1.2994022209932234
9.0E-4,-0.0876,1.2865826670816483
9.0E-4,-0.08519999999999998,1.269324596232028
9.0E-4,-0.08279999999999998,1.2482091407513203
9.0E-4,-0.08039999999999997,1.2233542129805124
9.0E-4,-0.07799999999999999,1.194821325762839
9.0E-4,-0.07559999999999999,1.1623484419550896
9.0E-4,-0.07320000000000002,1.1262026355826837
9.0E-4,-0.07079999999999997,1.0859013186451794
9.0E-4,-0.0684,1.0399640940198023
9.0E-4,-0.06599999999999999,0.9849140381616324
