% Model,plasmaBDistributionWithShieldingWithFM.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 24 2021, 13:36"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,
% Length unit,m
% R,Z,real(mf.Br) (T) @ freq=1
9.0E-4,-0.2388,-4.0139686714841266E-8
9.0E-4,-0.2364,-1.8158658162142335E-5
9.0E-4,-0.23399999999999999,-0.0013508906888666308
9.0E-4,-0.2316,-0.0014878370740912673
9.0E-4,-0.22920000000000001,-0.0015173251715160409
9.0E-4,-0.2268,-0.001599042070195564
9.0E-4,-0.2244,-0.0016752255465964233
9.0E-4,-0.22199999999999998,-0.001736420528141627
9.0E-4,-0.21960000000000002,-0.0018266785025290097
9.0E-4,-0.2172,-0.001888861197317425
9.0E-4,-0.2148,-0.0019906727118645037
9.0E-4,-0.21239999999999998,-0.002055205275363694
9.0E-4,-0.20999999999999996,-0.002169134546602579
9.0E-4,-0.2076,-0.0022367677951449305
9.0E-4,-0.2052,-0.0023634642187179977
9.0E-4,-0.20279999999999998,-0.0024340384960068644
9.0E-4,-0.20039999999999997,-0.0025746165130728846
9.0E-4,-0.198,-0.0026476210156698527
9.0E-4,-0.1956,-0.0028028909524834694
9.0E-4,-0.19319999999999998,-0.0028777914692851543
9.0E-4,-0.19079999999999997,-0.0030486005009950495
9.0E-4,-0.18839999999999998,-0.0031244323170873407
9.0E-4,-0.186,-0.0033111494968480967
9.0E-4,-0.1836,-0.003386829803202988
9.0E-4,-0.18119999999999997,-0.003589076899206893
9.0E-4,-0.17880000000000001,-0.003663417141408724
9.0E-4,-0.17639999999999997,-0.0038798160561100345
9.0E-4,-0.174,-0.003951514347176215
9.0E-4,-0.1716,-0.0041793480349346865
9.0E-4,-0.16920000000000002,-0.004246986913140673
9.0E-4,-0.1668,-0.00448181469077346
9.0E-4,-0.1644,-0.004543863102656508
9.0E-4,-0.16199999999999998,-0.004779047414539328
9.0E-4,-0.1596,-0.004833915387956513
9.0E-4,-0.1572,-0.005060101163284668
9.0E-4,-0.1548,-0.005106241619740035
9.0E-4,-0.15239999999999998,-0.005310839043744735
9.0E-4,-0.15,-0.005346904837903157
9.0E-4,-0.1476,-0.005513662083000269
9.0E-4,-0.1452,-0.005538720755044287
9.0E-4,-0.14279999999999998,-0.0056132723606715255
9.0E-4,-0.14039999999999997,-0.005661312836534503
9.0E-4,-0.138,-0.005695821900405658
9.0E-4,-0.1356,-0.005691576007496261
9.0E-4,-0.13319999999999999,-0.005674143428936328
9.0E-4,-0.13079999999999997,-0.005604678236552731
9.0E-4,-0.12839999999999996,-0.005522992467231086
9.0E-4,-0.126,-0.0053756766022934254
9.0E-4,-0.12360000000000002,-0.005218010561229277
9.0E-4,-0.12119999999999997,-0.004981700611548143
9.0E-4,-0.11879999999999999,-0.0047377817408492135
9.0E-4,-0.11639999999999996,-0.0044044934565215105
9.0E-4,-0.11399999999999998,-0.004066189622982852
9.0E-4,-0.11159999999999998,-0.0036356522144468284
9.0E-4,-0.10919999999999999,-0.0031877841847398843
9.0E-4,-0.10679999999999996,-0.0026866671802254385
9.0E-4,-0.10439999999999999,-0.00212488738865523
9.0E-4,-0.10199999999999998,-0.0015593539739279052
9.0E-4,-0.09960000000000001,-8.915673189369926E-4
9.0E-4,-0.0972,-7.397916136425708E-5
9.0E-4,-0.0948,4.732485514923101E-4
9.0E-4,-0.09239999999999998,0.001261263358384576
9.0E-4,-0.08999999999999997,0.0023883972162389577
9.0E-4,-0.0876,0.002659498087793158
9.0E-4,-0.08519999999999998,0.0034862522125052183
9.0E-4,-0.08279999999999998,0.0042946369098608534
9.0E-4,-0.08039999999999997,0.005095385535630516
9.0E-4,-0.07799999999999999,0.005857068158960643
9.0E-4,-0.07559999999999999,0.006351949643967465
9.0E-4,-0.07320000000000002,0.007030585126712369
9.0E-4,-0.07079999999999997,0.007963654683692173
9.0E-4,-0.0684,0.009446612466742416
9.0E-4,-0.06599999999999999,0.01161937910754627
9.0E-4,-0.06360000000000002,0.01567641568427236
9.0E-4,-0.06119999999999998,0.02525041148626439
9.0E-4,-0.05879999999999999,0.1092076045627196
9.0E-4,-0.056399999999999964,0.014116928652365746
9.0E-4,-0.05399999999999998,0.0072611894050250425
9.0E-4,-0.05159999999999998,0.0061473847309102235
9.0E-4,-0.049199999999999994,0.0057485112147957155
9.0E-4,-0.04679999999999995,0.005602972298681718
9.0E-4,-0.044399999999999995,0.005437399416212367
9.0E-4,-0.04199999999999998,0.00520419232392948
9.0E-4,-0.03960000000000001,0.00489145128248725
9.0E-4,-0.0372,0.004518431172462848
9.0E-4,-0.034799999999999984,0.004007265059298879
9.0E-4,-0.032399999999999984,0.0038471113715771855
9.0E-4,-0.03,0.003407335477402704
9.0E-4,-0.0276,0.003003460986233069
9.0E-4,-0.025199999999999986,0.0025639413741204075
9.0E-4,-0.022799999999999973,0.0024407052364487924
9.0E-4,-0.020399999999999974,0.002052289603308069
9.0E-4,-0.017999999999999988,0.001752850517772196
9.0E-4,-0.015599999999999975,0.0014266833659389508
9.0E-4,-0.013200000000000017,0.00133870420257836
9.0E-4,-0.010799999999999976,0.0010238258639060013
9.0E-4,-0.008400000000000019,7.74142762124859E-4
9.0E-4,-0.005999999999999978,5.475959449486281E-4
9.0E-4,-0.003599999999999992,3.846232446702703E-4
9.0E-4,-0.0011999999999999789,1.324443789102177E-4
9.0E-4,0.0011999999999999927,-1.0989181307641701E-4
9.0E-4,0.0035999999999999782,-3.379697643829305E-4
9.0E-4,0.0059999999999999915,-5.016963691291044E-4
9.0E-4,0.008400000000000005,-7.622667379969687E-4
9.0E-4,0.010800000000000004,-0.001009618775109654
9.0E-4,0.01319999999999999,-0.0012629241814558082
9.0E-4,0.015599999999999989,-0.001521726622207493
9.0E-4,0.018000000000000002,-0.0017227709177821252
9.0E-4,0.020400000000000015,-0.002017931262982081
9.0E-4,0.022800000000000015,-0.002512385162786561
