% Model,plasmaBDistributionWithShielding.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 3 2021, 11:59"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,
% Length unit,m
% R,Z,real(mf.Bz) (T) @ freq=1
9.0E-4,-0.2388,5.550924111121162E-5
9.0E-4,-0.2364,0.00421956775633061
9.0E-4,-0.23399999999999999,0.1048425580047047
9.0E-4,-0.2316,0.10839852246463104
9.0E-4,-0.22920000000000001,0.1120575119522521
9.0E-4,-0.2268,0.11593178541902369
9.0E-4,-0.2244,0.11988794340662487
9.0E-4,-0.22199999999999998,0.12408905215888631
9.0E-4,-0.21960000000000002,0.12836880616859087
9.0E-4,-0.2172,0.13291634358057286
9.0E-4,-0.2148,0.13754830484371702
9.0E-4,-0.21239999999999998,0.1424676698384629
9.0E-4,-0.20999999999999996,0.14747740556399663
9.0E-4,-0.2076,0.1527946672125538
9.0E-4,-0.2052,0.1582081674450257
9.0E-4,-0.20279999999999998,0.16394778949397876
9.0E-4,-0.20039999999999997,0.16978928195153276
9.0E-4,-0.198,0.1759731595794286
9.0E-4,-0.1956,0.18226368924679132
9.0E-4,-0.19319999999999998,0.1889090926312607
9.0E-4,-0.19079999999999997,0.1956643376567066
9.0E-4,-0.18839999999999998,0.20278097265534245
9.0E-4,-0.186,0.21000817001779648
9.0E-4,-0.1836,0.21759411633999182
9.0E-4,-0.18119999999999997,0.2252874542523516
9.0E-4,-0.17880000000000001,0.2333236247736863
9.0E-4,-0.17639999999999997,0.24145929054302334
9.0E-4,-0.174,0.2499018388431085
9.0E-4,-0.1716,0.2584297102603053
9.0E-4,-0.16920000000000002,0.26719922432533705
9.0E-4,-0.1668,0.2760341465704198
9.0E-4,-0.1644,0.28500578900192075
9.0E-4,-0.16199999999999998,0.293998911761326
9.0E-4,-0.1596,0.30300405842545663
9.0E-4,-0.1572,0.31191304085032123
9.0E-4,-0.1548,0.320689436572067
9.0E-4,-0.15239999999999998,0.3292467906008483
9.0E-4,-0.15,0.33739174104165537
9.0E-4,-0.1476,0.34506398056406773
9.0E-4,-0.1452,0.35213715537479223
9.0E-4,-0.14279999999999998,0.3584775382945392
9.0E-4,-0.14039999999999997,0.36375522410847905
9.0E-4,-0.138,0.3677288904487206
9.0E-4,-0.1356,0.3703410025946342
9.0E-4,-0.13319999999999999,0.3713599056884891
9.0E-4,-0.13079999999999997,0.37054589330683363
9.0E-4,-0.12839999999999996,0.3673039401715491
9.0E-4,-0.126,0.36169436950251466
9.0E-4,-0.12360000000000002,0.3536803058011768
9.0E-4,-0.12119999999999997,0.343254395065279
9.0E-4,-0.11879999999999999,0.33005636755814594
9.0E-4,-0.11639999999999996,0.3142349119384542
9.0E-4,-0.11399999999999998,0.29645806423991916
9.0E-4,-0.11159999999999998,0.27709073360950154
9.0E-4,-0.10919999999999999,0.2565457982782252
9.0E-4,-0.10679999999999996,0.23530824654673116
9.0E-4,-0.10439999999999999,0.21412338572494594
9.0E-4,-0.10199999999999998,0.1933706666138153
9.0E-4,-0.09960000000000001,0.17335554931862296
9.0E-4,-0.0972,0.15458363442565215
9.0E-4,-0.0948,0.13708170496703437
9.0E-4,-0.09239999999999998,0.1207905102228552
9.0E-4,-0.08999999999999997,0.10559327170504793
9.0E-4,-0.0876,0.09174643893014496
9.0E-4,-0.08519999999999998,0.07890966774591286
9.0E-4,-0.08279999999999998,0.06692161192344495
9.0E-4,-0.08039999999999997,0.05566907697104867
9.0E-4,-0.07799999999999999,0.04521906141625022
9.0E-4,-0.07559999999999999,0.03536291943270746
9.0E-4,-0.07320000000000002,0.026012295359949998
9.0E-4,-0.07079999999999997,0.017132968226400556
9.0E-4,-0.0684,0.008772702197162353
9.0E-4,-0.06599999999999999,9.139743059624473E-4
9.0E-4,-0.06360000000000002,-0.006548067792744257
9.0E-4,-0.06119999999999998,-0.013587995145985647
9.0E-4,-0.05879999999999999,-0.020100305014660376
9.0E-4,-0.056399999999999964,-0.02614230232792277
9.0E-4,-0.05399999999999998,-0.03174607010061676
9.0E-4,-0.05159999999999998,-0.03691834461159234
9.0E-4,-0.049199999999999994,-0.041558877849394604
9.0E-4,-0.04679999999999995,-0.04573380150733443
9.0E-4,-0.044399999999999995,-0.04948946265209425
9.0E-4,-0.04199999999999998,-0.05287923892262743
9.0E-4,-0.03960000000000001,-0.0557975465252495
9.0E-4,-0.0372,-0.05837559870071929
9.0E-4,-0.034799999999999984,-0.06064119903793622
9.0E-4,-0.032399999999999984,-0.06262879179301226
9.0E-4,-0.03,-0.0643233451759036
9.0E-4,-0.0276,-0.06579488576408915
9.0E-4,-0.025199999999999986,-0.06709225994565998
9.0E-4,-0.022799999999999973,-0.0682385825571536
9.0E-4,-0.020399999999999974,-0.0692368028276455
9.0E-4,-0.017999999999999988,-0.07010768790518493
9.0E-4,-0.015599999999999975,-0.07088921469035707
9.0E-4,-0.013200000000000017,-0.07158205911301341
9.0E-4,-0.010799999999999976,-0.07217073117089881
9.0E-4,-0.008400000000000019,-0.07265052448428858
9.0E-4,-0.005999999999999978,-0.07302636160117956
9.0E-4,-0.003599999999999992,-0.07330040441200356
9.0E-4,-0.0011999999999999789,-0.0734336207648714
9.0E-4,0.0011999999999999927,-0.07342168328479373
9.0E-4,0.0035999999999999782,-0.0732861888996982
